GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0026562	43868.5455480573	-2.38255375304759	0.0835225231265528	-28.5258833648687	5.59510660337199e-179	4.84032672257711e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07674246606163	0.144657905723173	-28.1819541467934	9.73174431564699e-175	2.8063106691554e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99542318409123	0.10623999905871	-28.1948720880157	6.75849183074902e-175	2.8063106691554e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.68038350346519	0.0992245312651464	27.0133148455265	1.03100952238722e-160	2.22981584454297e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11124928853031	0.091170472808443	-23.1571606847562	1.23126723123557e-118	2.13033856348379e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37069793822922	0.169769330545473	-19.8545751897536	1.00609693086329e-87	1.45062409148305e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41861841922973	0.121932427324633	-19.835727642741	1.46382930204196e-87	1.80908389885215e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31429990152533	0.131223751013936	-17.6362882758896	1.29705950287224e-69	1.40260771991847e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92757215645925	0.171225309802639	-17.0977769573534	1.54173872916841e-65	1.48195352733733e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33699940164467	0.144138800737381	16.2135343827555	4.04614944365918e-59	3.50032388370955e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.17486621455993	0.137603340900455	-15.8053300183552	2.85889263535007e-56	2.24838910803759e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28372207624376	0.166853803527554	-13.6869644440957	1.21479115002947e-42	8.75763186575413e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
